id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
2,0,0,7,29,,,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15.0,,1.0,0.0,16,6.30627489089966,256
3,0,0,12,27,8.0,8.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,93.0,1.0,1.0,9,6.17586708068848,81
4,0,0,12,34,14.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42.0,103.0,1.0,1.0,16,6.58063888549805,256
5,1,1,11,27,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25.0,88.0,1.0,1.0,10,5.52146100997925,100
6,1,1,12,34,8.0,7.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34.0,108.0,1.0,0.0,16,6.59167385101318,256
7,1,1,12,26,9.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38.0,85.0,1.0,1.0,8,6.21460819244385,64
8,1,1,18,33,14.0,14.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41.0,119.0,1.0,1.0,9,6.33682584762573,81
9,1,1,14,29,14.0,14.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46.0,108.0,1.0,1.0,9,6.41017484664917,81
10,1,1,12,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,96.0,4.0,0.0,10,6.05208921432495,100
11,1,1,12,29,12.0,12.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34.0,97.0,1.0,1.0,11,6.2441668510437,121
12,1,1,9,28,11.0,12.0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29.0,84.0,1.0,0.0,13,5.41610097885132,169
13,1,1,12,26,11.0,6.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,400,0,34.0,89.0,1.0,1.0,8,5.99146509170532,64
14,1,1,11,24,11.0,6.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,417,0,22.0,93.0,1.0,1.0,7,6.03308582305908,49
15,1,1,11,30,11.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,217,0,27.0,74.0,1.0,0.0,13,5.37989711761475,169
16,1,1,16,31,,8.0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,894,0,43.0,116.0,1.0,1.0,9,6.79570579528809,81
17,1,1,14,24,15.0,12.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,36.0,,6.0,1.0,4,5.70378303527832,16
19,1,1,12,34,12.0,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,346,0,40.0,93.0,1.0,1.0,16,5.84643888473511,256
20,1,1,14,29,,12.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,658,0,35.0,100.0,1.0,1.0,9,6.48920488357544,81
22,1,1,10,26,8.0,8.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,575,0,24.0,91.0,6.0,0.0,10,6.3543701171875,100
25,1,1,12,32,8.0,8.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,649,0,35.0,88.0,1.0,0.0,14,6.47543287277222,196
26,1,1,18,32,12.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,944,0,43.0,,1.0,1.0,8,6.85012578964233,64
29,1,1,18,34,,8.0,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,614,0,50.0,114.0,1.0,1.0,10,6.41999483108521,100
30,1,1,15,32,5.0,14.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,726,0,37.0,111.0,1.0,1.0,11,6.58755016326904,121
31,0,1,12,28,14.0,12.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,604,0,44.0,,1.0,1.0,10,6.40357398986816,100
32,0,1,12,32,11.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,693,0,44.0,95.0,1.0,1.0,14,6.54102993011475,196
35,0,1,18,34,14.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1400,0,44.0,132.0,1.0,1.0,10,7.24422693252563,100
36,0,1,12,26,7.0,12.0,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300,0,27.0,,6.0,1.0,8,5.70378303527832,64
37,0,1,18,32,16.0,16.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800,0,38.0,109.0,5.0,1.0,8,7.49554204940796,64
38,0,1,12,25,11.0,12.0,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,413,0,43.0,108.0,1.0,1.0,7,6.02344799041748,49
39,0,1,14,29,,16.0,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,45.0,102.0,1.0,1.0,9,6.44888877868652,81
47,1,1,12,25,12.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,208,0,30.0,106.0,1.0,1.0,7,5.33753776550293,49
48,1,1,12,25,,11.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,457,0,40.0,104.0,6.0,1.0,7,6.12468290328979,49
53,1,1,16,24,10.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24.0,119.0,1.0,1.0,2,6.71416997909546,4
54,1,1,18,34,,12.0,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47.0,122.0,1.0,1.0,10,6.35784196853638,100
55,1,1,11,28,6.0,10.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32.0,90.0,1.0,1.0,11,5.54126405715942,121
62,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47.0,118.0,1.0,1.0,8,6.86901378631592,64
63,1,1,10,31,8.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37.0,105.0,1.0,0.0,15,6.85012578964233,225
64,1,1,18,34,8.0,11.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43.0,115.0,1.0,1.0,10,7.04403305053711,100
77,1,1,6,27,2.0,6.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16.0,,1.0,1.0,15,5.78074407577515,225
79,1,1,11,24,6.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27.0,65.0,5.0,1.0,7,5.45958614349365,49
80,1,1,12,34,11.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45.0,120.0,1.0,0.0,16,6.90775489807129,256
81,1,1,9,26,,12.0,422407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,31.0,86.0,4.0,1.0,11,6.17586708068848,121
